Numéro;Intitulé;Catégorie;Type
1;Actif;Actif;Bilan
10;Actif circulant;Actif;Bilan
100;Trésorerie et actifs cotés en bourse détenus à court terme;Actif;Bilan
1000;Caisse;Actif;Bilan
1010;Compte postal;Actif;Bilan
1020;Banque;Actif;Bilan
1060;Titres;Actif;Bilan
1069;Ajustement de la valeur des titres;Actif;Bilan
110;Créances résultant prestations envers des tiers;Actif;Bilan
1100;Créances envers des tiers suisses;Actif;Bilan
1109;Ducroire;Actif;Bilan
114;Autres créances à court terme;Actif;Bilan
1140;Avances et prêts;Actif;Bilan
1149;Ajustement de la valeur des avances et prêts;Actif;Bilan
1150;Acomptes aux fournisseurs;Actif;Bilan
1170;Impôt préalable: TVA s/matériel, marchandises, prestations et énergie;Actif;Bilan
1171;Impôt préalable: TVA s/investissements et autres charges;Actif;Bilan
1176;Impôt anticipé;Actif;Bilan
1180;Créances envers les assurances sociales et institutions de prévoyance;Actif;Bilan
1189;Impôt à la source;Actif;Bilan
1190;Autres créances à court terme;Actif;Bilan
1199;Ajustement de la valeur des créances à court terme;Actif;Bilan
120;Stocks et prestations non facturées;Actif;Bilan
1200;Marchandises commerciales;Actif;Bilan
1209;Ajustement de la valeur des marchandises commerciales;Actif;Bilan
1230;Matières consommables;Actif;Bilan
1250;Marchandises en consignation;Actif;Bilan
1280;Prestations non facturées;Actif;Bilan
130;Actifs de régularisation;Actif;Bilan
1300;Charges payées d'avance;Actif;Bilan
1301;Produits à recevoir;Actif;Bilan
14;Actif immobilisés;Actif;Bilan
140;Immobilisations financières;Actif;Bilan
1400;Titres à long terme;Actif;Bilan
1409;Ajustement de la valeur des titres à long terme;Actif;Bilan
1440;Prêts;Actif;Bilan
1441;Hypothèques;Actif;Bilan
1449;Ajustement de la valeur des créances à long terme;Actif;Bilan
148;Participations;Actif;Bilan
1480;Participations;Actif;Bilan
1489;Ajustement de la valeur des participations;Actif;Bilan
150;Immobilisations corporelles meubles;Actif;Bilan
1500;Machines et appareils;Actif;Bilan
1509;Ajustement de la valeur des machines et des appareils;Actif;Bilan
1510;Mobilier et installations;Actif;Bilan
1519;Ajustement de la valeur du mobilier et des installations;Actif;Bilan
1520;Machines de bureau, informatique, systèmes de communication;Actif;Bilan
1529;Ajustement de la valeur des machines de bureau, informatique, systèmes de communication;Actif;Bilan
1530;Véhicules;Actif;Bilan
1539;Ajustement de la valeur des véhicules;Actif;Bilan
1540;Outillages et appareils;Actif;Bilan
1549;Ajustement de la valeur des outillages et appareils;Actif;Bilan
160;Immobilisations corporelles immeubles;Actif;Bilan
1600;Immeubles d'exploitation;Actif;Bilan
1609;Ajustement de la valeur des immeubles d'exploitation;Actif;Bilan
170;Immobilisations incorporelles;Actif;Bilan
1700;Brevets, know-how, licences, droits, développement;Actif;Bilan
1709;Ajustement de la valeur des brevets, know-how, licences, droits, développement;Actif;Bilan
1770;Goodwill;Actif;Bilan
1779;Ajustement de la valeur des goodwill;Actif;Bilan
180;Capital non versé : capital social, capital de fondation;Actif;Bilan
1850;Capital actions, capital social, droits de participations ou capital de fondation non versés;Actif;Bilan
2;Passif;Passif;Bilan
20;Dettes à court terme;Passif;Bilan
200;Dettes à court terme résultant d'achats et de prestations de services;Passif;Bilan
2000;Dettes résultant d'achats et de prestations de services;Passif;Bilan
2010;Dettes c/charges de personnel;Passif;Bilan
2011;Dettes c/assurances sociales;Passif;Bilan
2030;Acomptes de clients;Passif;Bilan
210;Dettes à court terme rémunérées;Passif;Bilan
2100;Dettes bancaires;Passif;Bilan
2120;Engagements de financement par leasing;Passif;Bilan
2140;Autres dettes à court terme rémunérées;Passif;Bilan
220;Autres dettes à court terme;Passif;Bilan
2200;TVA due;Passif;Bilan
2201;Décompte TVA;Passif;Bilan
2206;Impôt anticipé dû;Passif;Bilan
2208;Impôts directs;Passif;Bilan
2210;Autres dettes à court terme;Passif;Bilan
2261;Dividendes;Passif;Bilan
2270;Assurances sociales et institutions de prévoyance;Passif;Bilan
2279;Impôt à la source;Passif;Bilan
230;Passifs de régularisation et provisions à court terme;Passif;Bilan
2300;Charges à payer;Passif;Bilan
2301;Produits encaissés d'avance;Passif;Bilan
2330;Provisions à court terme;Passif;Bilan
24;Dettes à long terme;Passif;Bilan
240;Dettes à long terme rémunérées;Passif;Bilan
2400;Dettes bancaires;Passif;Bilan
2420;Engagements de financement par leasing;Passif;Bilan
2430;Emprunts obligataires;Passif;Bilan
2450;Emprunts;Passif;Bilan
2451;Hypothèques;Passif;Bilan
250;Autres dettes à long terme;Passif;Bilan
2500;Autres dettes à long terme;Passif;Bilan
260;Provisions et postes analogues prévus par la loi;Passif;Bilan
2600;Provisions;Passif;Bilan
28;Capitaux propres;Passif;Bilan
280;Capital social ou capital de la fondation, le cas échéant ventilé par catégories de droits de participation;Passif;Bilan
2800;Capital propre en début d'exercice;Passif;Bilan
2820;Apports de capital, prélèvements sur capital;Passif;Bilan
2850;Compte privé;Passif;Bilan
290;Réserves, bénéfices et pertes;Passif;Bilan
2900;Réserve générale issues du capital;Passif;Bilan
2940;Réserves d'évaluation;Passif;Bilan
295;Réserve légale issue du bénéfice;Passif;Bilan
2950;Réserves légales issues du bénéfice;Passif;Bilan
296;Réserves facultatives issues du bénéfice ou pertes cumulées;Passif;Bilan
2960;Réserves libres;Passif;Bilan
2970;Bénéfice reporté / Déficit reporté;Passif;Bilan
2979;Bénéfice de l'exercice / Déficit de l'exercice;Passif;Bilan
298;Propres parts du capital (en diminution des capitaux propres);Passif;Bilan
2980;Propres actions, parts sociales, droits de participations (poste négatif);Passif;Bilan
3;Chiffre d'affaires résultant des ventes et des prestations de services;Produits;Résultats
30;Produits nets des ventes de biens et de prestations de services;Produits;Résultats
300;Ventes brutes de produits fabriqués;Produits;Résultats
3000;Ventes de produits fabriqués;Produits;Résultats
320;Ventes brutes de marchandises;Produits;Résultats
3200;Ventes de marchandises;Produits;Résultats
3210;Ventes brutes au comptant;Produits;Résultats
340;Ventes brutes de prestations;Produits;Résultats
3400;Ventes de prestations;Produits;Résultats
360;Autres ventes et prestations de services;Produits;Résultats
3600;Autres ventes et prestations de services;Produits;Résultats
370;Prestations propres et consommations propres;Produits;Résultats
3700;Prestations propres;Produits;Résultats
3710;Consommations propres;Produits;Résultats
380;Déductions sur ventes;Produits;Résultats
3800;Déductions sur ventes;Produits;Résultats
3805;Pertes sur clients, variation du ducroire;Produits;Résultats
3810;Escomptes;Produits;Résultats
3815;Rabais et réductions de prix;Produits;Résultats
3820;Remises;Produits;Résultats
3825;Commissions de tiers;Produits;Résultats
3830;Frais d'encaissement;Produits;Résultats
3840;Différences de change;Produits;Résultats
3850;Frets et ports;Produits;Résultats
39;Variation des stocks de produits finis et semi-finis et des prestations de services non facturées;Produits;Résultats
390;Variation des stocks de produits finis et semi-finis / des prestations de services non facturées;Produits;Résultats
3900;Variation des stocks de produits semi-finis;Produits;Résultats
3901;Variation des stocks de produits finis;Produits;Résultats
3940;Variation de la valeur des prestations de services non facturées;Produits;Résultats
4;Charges de matériel, de marchandises et de prestations de tiers;Charges;Résultats
400;Charges de matériel;Charges;Résultats
4000;Achats de matériel;Charges;Résultats
420;Charges de marchandises;Charges;Résultats
4200;Achats de marchandises;Charges;Résultats
440;Charges de prestations de services;Charges;Résultats
4400;Prestations, travaux de tiers;Charges;Résultats
450;Charges d'énergie;Charges;Résultats
4500;Charges d'énergie pour l'exploitation;Charges;Résultats
490;Déductions sur les charges;Charges;Résultats
4900;Déductions s/achats;Charges;Résultats
4910;Escomptes;Charges;Résultats
4915;Rabais et réductions de prix;Charges;Résultats
4920;Remises;Charges;Résultats
4925;Ristournes obtenues s/achats;Charges;Résultats
4940;Différences de change;Charges;Résultats
5;Charges de personnel;Salaires;Salaire
500;Charges de personnel;Salaires;Salaire
5000;Salaires;Salaires;Salaire
5005;Prestations des assurances sociales;Salaires;Salaire
570;Charges sociales;Salaires;Salaire
5700;AVS, AI, APG, assurance-chômage;Salaires;Salaire
5701;Caisse de compensation familiale;Salaires;Salaire
5710;Assurance-accidents;Salaires;Salaire
5730;Assurance indemnités journalières en cas maladie;Salaires;Salaire
5750;Prévoyance professionnelle;Salaires;Salaire
5770;Impôts à la source;Salaires;Salaire
580;Autres charges de personnel;Salaires;Salaire
5800;Recherche de personnel;Salaires;Salaire
5810;Formation et formation continue;Salaires;Salaire
5820;Indemnités effectives;Salaires;Salaire
5825;Indemnités de frais forfaitaires;Salaires;Salaire
5890;Autres charges de personnel;Salaires;Salaire
590;Prestations de travail de tiers;Salaires;Salaire
5900;Employés temporaires;Salaires;Salaire
6;Autres charges d'exploitation, amortissement et ajustement de valeurs, résultat financier;Charges d'exploitation;Charges d'exploitation
60;Charges de locaux;Charges d'exploitation;Charges d'exploitation
600;Loyers et frais;Charges d'exploitation;Charges d'exploitation
6000;Loyer;Charges d'exploitation;Charges d'exploitation
6030;Charges accessoires;Charges d'exploitation;Charges d'exploitation
6040;Nettoyage;Charges d'exploitation;Charges d'exploitation
6050;Entretien;Charges d'exploitation;Charges d'exploitation
6090;Charges de locaux comme prélèvements privés;Charges d'exploitation;Charges d'exploitation
61;Entretien, réparations, remplacements des inst. servant à l'exploitation (ERR);Charges d'exploitation;Charges d'exploitation
610;ERR des inst. servant à l'exploitation;Charges d'exploitation;Charges d'exploitation
6100;ERR du mobilier de bureau;Charges d'exploitation;Charges d'exploitation
6101;ERR des machines de bureau;Charges d'exploitation;Charges d'exploitation
6102;ERR d'outils matériel;Charges d'exploitation;Charges d'exploitation
6103;ERR de machines;Charges d'exploitation;Charges d'exploitation
6105;Leasing immobilisations corporelles meubles;Charges d'exploitation;Charges d'exploitation
62;Charges de véhicules;Charges d'exploitation;Charges d'exploitation
620;Frais de véhicules;Charges d'exploitation;Charges d'exploitation
6200;Réparation, service et nettoyage;Charges d'exploitation;Charges d'exploitation
6210;Carburants;Charges d'exploitation;Charges d'exploitation
6220;Assurances et taxes;Charges d'exploitation;Charges d'exploitation
6260;Charges de location pour voitures en crédit-bail;Charges d'exploitation;Charges d'exploitation
6270;Charges de véhicules comme prélèvements privés;Charges d'exploitation;Charges d'exploitation
63;Assurances-choses, droits, taxes, autorisations;Charges d'exploitation;Charges d'exploitation
630;Primes d'assurance;Charges d'exploitation;Charges d'exploitation
6300;Assurance pour dommages;Charges d'exploitation;Charges d'exploitation
6331;Primes pour cautionnement;Charges d'exploitation;Charges d'exploitation
636;Droits et taxes;Charges d'exploitation;Charges d'exploitation
6360;Droits;Charges d'exploitation;Charges d'exploitation
6361;Taxes;Charges d'exploitation;Charges d'exploitation
637;Autorisations et patentes;Charges d'exploitation;Charges d'exploitation
6370;Autorisations;Charges d'exploitation;Charges d'exploitation
